,dealer_player,deck,hit_prob,stand_prob
96,[12 11],[1 1 0 1 0 0 2 2 2 1 2 1 0],0.5236604666345455,0.4763395333654545
97,[16 10],[2 0 1 0 2 1 1 1 1 1 1 1 1],0.4916989225233582,0.5083010774766418
98,[20  8],[1 0 1 0 0 1 0 2 2 2 2 1 1],0.0,1.0
99,[20  4],[1 1 0 2 0 1 3 0 1 0 1 2 1],0.0,1.0
100,[ 8 10],[0 1 2 2 1 2 1 0 1 1 1 1 0],1.0,0.0
101,[13 10],[0 1 2 2 2 2 1 0 1 1 1 1 0],0.5825452634975756,0.4174547365024244
102,[10 11],[1 1 3 1 1 0 2 1 0 0 1 0 2],1.0,0.0
103,[21  3],[2 1 1 3 0 0 0 1 1 1 1 1 1],0.0,1.0
104,[19 11],[2 1 1 0 1 0 1 0 3 0 0 1 3],0.0,1.0
105,[18  2],[1 2 2 1 1 1 1 2 0 0 0 2 0],0.0,1.0
106,[20  4],[3 0 1 1 1 0 1 0 1 1 2 1 1],0.0,1.0
107,[12  8],[0 1 0 2 2 1 1 1 1 1 1 1 1],0.5940815076180125,0.4059184923819875
108,[13 10],[2 0 1 0 1 0 1 1 2 3 1 1 0],0.5612056220238543,0.43879437797614573
109,[18 10],[1 1 1 0 1 0 1 3 1 1 0 3 0],0.0,1.0
110,[12  8],[0 1 2 1 0 2 0 3 0 2 1 0 1],0.5964770752070372,0.4035229247929628
111,[7 9],[2 0 1 2 0 2 1 0 2 1 1 0 1],1.0,0.0
112,[10  8],[0 0 0 2 1 2 1 1 0 2 1 2 1],1.0,0.0
113,[21 10],[2 1 0 0 1 1 1 1 2 1 0 2 1],0.0,1.0
114,[17  8],[0 0 1 3 1 0 3 2 0 1 1 1 0],0.0,1.0
115,[20 11],[1 1 0 2 1 2 0 0 1 1 1 1 2],0.0,1.0
116,[20 10],[1 0 0 0 2 1 0 1 2 3 2 0 1],0.0,1.0
117,[12 10],[1 1 1 0 0 2 1 1 2 2 2 0 0],0.5468696336343285,0.4531303663656715
118,[18 10],[1 0 1 1 2 0 2 2 0 1 2 1 0],0.0,1.0
119,[15 11],[2 0 1 1 2 0 2 2 0 0 0 2 1],0.50807039393146,0.49192960606854
120,[8 9],[3 2 1 1 1 1 0 1 1 0 1 0 1],1.0,0.0
121,[15  2],[1 1 2 1 1 0 1 0 2 0 1 1 2],0.45669684190264076,0.5433031580973593
122,[20 10],[2 1 1 0 0 1 0 1 3 3 1 0 0],0.0,1.0
123,[14  2],[1 1 1 2 0 2 0 1 0 1 0 2 2],0.4776619998131913,0.5223380001868086
124,[14  6],[2 0 2 1 0 2 0 0 2 1 1 0 2],0.4533923000887602,0.5466076999112398
125,[10 10],[2 0 1 1 1 1 2 1 1 1 1 1 0],1.0,0.0
126,[17  4],[1 1 2 1 1 1 1 0 1 1 1 1 1],0.0,1.0
127,[10  9],[0 0 1 3 0 1 3 0 2 0 1 1 1],1.0,0.0
128,[8 3],[0 1 2 0 2 1 0 1 0 1 1 1 3],1.0,0.0
129,[12  6],[1 1 1 0 1 1 1 0 0 2 2 1 2],0.5394754265536467,0.4605245734463534
130,[20  8],[1 0 1 0 2 1 0 2 2 2 0 1 1],0.0,1.0
131,[16 11],[1 0 0 0 1 1 1 2 2 2 1 0 2],0.5186591306402654,0.48134086935973464
132,[12  6],[1 1 1 1 3 1 0 1 0 1 0 2 1],0.4948203437171019,0.5051796562828982
133,[13  2],[1 1 2 0 0 0 1 2 0 1 3 1 1],0.5128435288677065,0.4871564711322936
134,[12 10],[1 1 0 0 1 1 1 2 0 2 0 1 3],0.578421548673479,0.42157845132652105
135,[15  7],[1 2 1 0 1 2 2 2 1 0 1 0 0],0.5579510139050166,0.4420489860949835
136,[ 8 10],[1 1 2 1 1 1 0 0 0 1 2 2 1],1.0,0.0
137,[18 10],[1 1 2 1 1 1 0 0 0 1 3 2 1],0.0,1.0
138,[13 10],[2 1 1 0 0 1 1 0 1 0 2 2 2],0.5850881187649523,0.4149118812350478
139,[ 9 10],[1 1 0 1 1 1 1 1 1 2 1 2 0],1.0,0.0
140,[17  3],[2 1 2 1 1 2 1 0 0 1 1 0 1],0.0,1.0
141,[18  5],[1 1 2 1 1 1 1 1 1 0 1 1 1],0.0,1.0
142,[10  8],[1 1 0 1 0 2 2 2 1 0 0 2 1],1.0,0.0
143,[14 10],[1 3 0 0 1 0 1 0 1 1 1 2 2],0.563540818104121,0.4364591818958789
144,[15 10],[1 1 0 1 2 2 1 0 1 0 0 2 2],0.49256716132146644,0.5074328386785335
145,[14  4],[1 2 1 1 2 1 0 1 1 1 1 1 0],0.4387758125201788,0.5612241874798212
146,[18  7],[0 2 0 0 2 2 2 1 2 0 1 1 0],0.0,1.0
147,[20 10],[1 2 0 2 0 1 1 0 1 2 1 1 1],0.0,1.0
148,[19  5],[1 1 1 0 1 1 0 1 1 1 1 2 2],0.0,1.0
149,[17 10],[0 0 1 1 1 2 2 0 2 3 0 1 0],0.0,1.0
150,[14  4],[2 0 0 1 2 0 1 0 1 1 2 3 0],0.47311298200063473,0.5268870179993653
151,[12 10],[1 2 0 1 1 1 1 1 2 0 1 1 1],0.5429640932991656,0.4570359067008343
152,[14 10],[1 0 1 2 2 1 1 1 2 0 0 2 0],0.5175335843108549,0.482466415689145
153,[12 10],[0 1 0 1 1 1 1 2 2 0 2 1 1],0.5330195380047185,0.4669804619952816
154,[17  4],[0 1 1 2 1 1 1 0 0 1 1 3 1],0.0,1.0
155,[19 10],[2 1 0 2 1 1 1 1 1 1 0 1 1],0.0,1.0
156,[10 10],[2 2 0 1 0 0 0 1 3 2 1 1 0],1.0,0.0
157,[20 10],[1 0 0 0 1 0 2 0 1 2 1 1 4],0.0,1.0
158,[20 10],[1 1 1 1 2 0 0 1 0 0 3 2 1],0.0,1.0
159,[16  2],[2 1 1 1 0 1 0 1 0 2 1 2 1],0.4518545835475661,0.5481454164524338
160,[10  6],[0 2 1 0 2 2 1 1 0 0 1 1 2],1.0,0.0
161,[ 6 10],[2 1 0 2 1 1 1 1 1 1 0 1 1],1.0,0.0
162,[18  7],[0 1 2 0 1 2 1 1 1 0 2 2 0],0.0,1.0
163,[13  5],[0 0 2 2 1 1 1 2 0 0 1 1 2],0.44242482012039236,0.5575751798796077
164,[ 9 10],[1 0 1 2 1 1 0 1 1 1 1 1 2],1.0,0.0
165,[13 10],[0 0 2 1 2 1 2 0 0 2 1 2 0],0.5587598865759843,0.44124011342401576
166,[17  2],[0 3 0 0 2 0 1 0 1 1 2 3 0],0.0,1.0
167,[16 10],[1 0 1 1 1 1 2 0 1 1 1 2 1],0.5068715889088281,0.4931284110911719
168,[21  3],[1 1 1 2 0 1 0 1 2 0 3 1 0],0.0,1.0
169,[21  7],[2 1 0 1 1 0 1 0 0 3 0 2 2],0.0,1.0
170,[10 10],[1 0 0 2 1 2 0 2 1 2 1 1 0],1.0,0.0
171,[12  7],[2 0 2 0 0 1 1 0 3 2 0 1 1],0.5807191487493538,0.4192808512506461
172,[11  4],[0 0 1 1 0 2 1 2 2 1 1 0 2],1.0,0.0
173,[21  3],[1 0 1 1 4 1 1 1 1 1 0 0 1],0.0,1.0
174,[21 10],[2 0 2 0 0 0 1 2 2 1 0 1 2],0.0,1.0
175,[10 10],[0 2 1 1 2 0 1 1 1 1 0 2 1],1.0,0.0
176,[17 11],[2 0 0 2 0 0 2 1 1 1 2 1 1],0.0,1.0
177,[21  6],[1 1 1 1 2 1 0 1 1 1 1 1 1],0.0,1.0
178,[16  6],[1 1 0 0 1 2 1 2 1 1 1 0 2],0.45010930900220764,0.5498906909977923
179,[10  7],[3 0 1 0 0 1 2 1 1 1 1 1 1],1.0,0.0
180,[20 10],[0 1 1 2 0 0 3 2 0 1 1 1 1],0.0,1.0
181,[12  6],[2 0 1 1 1 1 2 0 1 2 0 1 1],0.4925634245087354,0.5074365754912645
182,[16  4],[0 0 1 2 1 2 0 1 1 1 1 2 1],0.40351501894909264,0.5964849810509073
183,[14 10],[0 0 0 2 1 2 1 1 2 1 1 0 2],0.5273836227897364,0.47261637721026356
184,[12  6],[1 1 0 1 0 2 0 2 1 2 1 1 1],0.5092673960653464,0.49073260393465346
185,[17 10],[1 2 0 1 1 2 2 0 0 1 2 1 0],0.0,1.0
186,[17 10],[1 0 1 0 2 2 1 0 1 1 1 2 1],0.0,1.0
187,[14  6],[2 0 1 0 1 2 2 1 1 0 0 3 0],0.4281025852106878,0.5718974147893122
188,[12  6],[0 2 1 2 0 2 1 1 1 0 1 2 0],0.48634461323944955,0.5136553867605504
189,[16 11],[1 1 0 0 1 2 2 2 0 2 1 1 0],0.4804639266014921,0.5195360733985078
190,[20  2],[2 1 1 1 2 2 0 0 0 0 1 1 2],0.0,1.0
191,[18  4],[1 0 2 2 1 1 1 3 1 0 0 1 0],0.0,1.0
192,[12  9],[1 0 0 4 2 0 2 2 2 0 0 0 0],0.5246645383378441,0.47533546166215584
193,[20 10],[0 2 0 1 0 2 3 1 0 1 1 1 1],0.0,1.0
194,[16  5],[0 0 1 0 2 2 0 2 1 2 2 1 0],0.4209370834266836,0.5790629165733164
195,[15 10],[1 1 1 0 1 1 0 1 2 1 2 1 1],0.5408924464272836,0.4591075535727164
196,[11  6],[1 1 1 0 1 1 1 0 3 1 0 2 1],1.0,0.0
197,[ 6 10],[1 1 2 0 1 2 1 1 0 0 1 2 1],1.0,0.0
198,[16 10],[1 1 2 0 1 2 1 1 0 0 1 2 2],0.5233064440130132,0.4766935559869868
199,[13 11],[1 1 0 2 1 2 1 1 0 1 1 1 1],0.5092161622114029,0.49078383778859713
200,[10  5],[0 1 1 2 3 1 2 1 0 0 0 0 2],1.0,0.0
201,[14 11],[2 1 2 0 0 1 0 0 1 1 1 3 1],0.5657183624309099,0.43428163756909005
202,[14  4],[1 0 1 2 1 1 0 1 3 0 1 2 0],0.46429224497644656,0.5357077550235534
203,[7 6],[1 2 1 2 1 1 1 0 2 1 0 1 0],1.0,0.0
204,[17  6],[1 0 1 3 0 1 2 1 0 2 1 0 1],0.0,1.0
205,[16 10],[2 0 2 0 3 0 1 0 1 0 1 1 2],0.44962026728212184,0.5503797327178782
206,[15 10],[0 0 3 1 2 1 1 1 0 1 1 0 2],0.5026125135198437,0.49738748648015635
207,[16  9],[1 1 2 0 1 2 0 1 1 1 2 0 1],0.5181365141508211,0.48186348584917893
208,[16 10],[1 1 0 0 1 1 1 2 1 0 1 2 2],0.5271244689736629,0.4728755310263371
209,[16  8],[2 1 0 0 2 2 1 1 2 0 1 0 1],0.5322044690455663,0.4677955309544337
